subj	seqno	ndcm	pname	tr	matrix	acqdir	dname	fullpath
20231103	26	165	PFC_gre_field_mapping_MCxx_B0map_33 	500 	 64 0 0 64	COL 	s026_PFC_gre_field_mapping_MCxx_B0map_33	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s026_PFC_gre_field_mapping_MCxx_B0map_33
20231103	27	33	PFC_gre_field_mapping_MCxx_B0map_33 	500 	 64 0 0 64	COL 	s027_PFC_gre_field_mapping_MCxx_B0map_33	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s027_PFC_gre_field_mapping_MCxx_B0map_33
20231103	28	66	B0Scout33Slice_ReconReference 	323 	 128 0 0 128	COL 	s028_B0Scout33Slice_ReconReference	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s028_B0Scout33Slice_ReconReference
20231103	29	33	B0Scout33Slice_ReconReference 	323 	 128 0 0 128	COL 	s029_B0Scout33Slice_ReconReference	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s029_B0Scout33Slice_ReconReference
20231103	30	2	cmrr_mbep2d_se_AP_R1x3_Pxl2mm 	5000	 110 0 0 110	COL 	s030_cmrr_mbep2d_se_AP_R1x3_Pxl2mm	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s030_cmrr_mbep2d_se_AP_R1x3_Pxl2mm
20231103	31	2	cmrr_mbep2d_se_AP_R1x3_Pxl2mm 	5000	 110 0 0 110	COL 	s031_MoCoSeries	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s031_MoCoSeries
20231103	32	2	cmrr_mbep2d_se_PA_R1x3_Pxl2mm 	5000	 110 0 0 110	COL 	s032_cmrr_mbep2d_se_PA_R1x3_Pxl2mm	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s032_cmrr_mbep2d_se_PA_R1x3_Pxl2mm
20231103	33	2	cmrr_mbep2d_se_PA_R1x3_Pxl2mm 	5000	 110 0 0 110	COL 	s033_MoCoSeries	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s033_MoCoSeries
20231103	34	680	cmrr_mbep2d_bold_R2x3_Pxl2_TR1300_NOSHIMERR 	1300	 110 0 0 110	COL 	s034_cmrr_mbep2d_bold_R2x3_Pxl2_TR1300_NOSHIMERR	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s034_cmrr_mbep2d_bold_R2x3_Pxl2_TR1300_NOSHIMERR
20231103	35	680	cmrr_mbep2d_bold_R2x3_Pxl2_TR1300_NOSHIMERR 	1300	 110 0 0 110	COL 	s035_MoCoSeries	/Volumes/Hera/Raw/MRprojects/SPA/Pilot/20231103Luna_PilotSPA2/DICOM/s035_MoCoSeries
